external_id;name;url_image;bio;producer_external_id;price
13870;Spray buccal fraîcheur;https://data.laregion.fr/api/v2/catalog/datasets/produits-sud-de-france/files/f7e5b2fdb6f60aabbd4c5360723ce5e5;oui;2357;9.90
13909;V Gallo-romain de la Narbonnaise rouge;https://data.laregion.fr/api/v2/catalog/datasets/produits-sud-de-france/files/77404fec1eb5bdc2bf8943cfa80b4b37;non;605;15.97
13910;V Gallo-romain de la Narbonnaise blanc;https://data.laregion.fr/api/v2/catalog/datasets/produits-sud-de-france/files/cded548b154c4b411ae6ba63a474df7f;non;605;28.26
13963;Sirop de romarin;https://data.laregion.fr/api/v2/catalog/datasets/produits-sud-de-france/files/851d8b47b82146fc4ee6afacca806ca5;non;2339;2.87
13968;Terrine de campagne;https://data.laregion.fr/api/v2/catalog/datasets/produits-sud-de-france/files/5f66abffd34e30a9443206a856859868;oui;2776;4.96
13973;Terrine de canard aux olives;https://data.laregion.fr/api/v2/catalog/datasets/produits-sud-de-france/files/be91a3fb1d4256dc721a5accb8dcd696;oui;2776;7.77
13977;tomates anciennes;https://data.laregion.fr/api/v2/catalog/datasets/produits-sud-de-france/files/44fc6bc1d4de16936f62efa1bb216751;oui;573;6.12
14181;Baiser Acidulé;https://data.laregion.fr/api/v2/catalog/datasets/produits-sud-de-france/files/cfaea142a1cadc9a65ccfbedc8ef505c;oui;680;4.47
13979;Terrine de Taureau;https://data.laregion.fr/api/v2/catalog/datasets/produits-sud-de-france/files/d06246e14bfe05012ff10d13da1a0e54;oui;2776;6.56
13986;Pâté de canard;https://data.laregion.fr/api/v2/catalog/datasets/produits-sud-de-france/files/2d4aa5dc160d00fed2e93a06347f2fa6;oui;2776;6.49
14005;MOULES DE BOUZIGUES;https://data.laregion.fr/api/v2/catalog/datasets/produits-sud-de-france/files/174f289ee8f0a755fc4119957dba2139;non;1917;20.04
14020;Jambon sec affiné Baron des Cévennes;https://data.laregion.fr/api/v2/catalog/datasets/produits-sud-de-france/files/364b5cee20eec3891b809dc9f897107f;non;2764;14.32
14039;crème de châtaignes;https://data.laregion.fr/api/v2/catalog/datasets/produits-sud-de-france/files/5fb1e5a6ebf3d1b4b03a8045f40a04ac;oui;2717;2.84
14121;Lou Larzac Bio;https://data.laregion.fr/api/v2/catalog/datasets/produits-sud-de-france/files/6f9635ad34a0fb1f209fffa083d06ac4;oui;2733;4.02
14151;Saucisse à griller à l'oignon;https://data.laregion.fr/api/v2/catalog/datasets/produits-sud-de-france/files/3bd60125b219ca15419c53a886724d27;non;624;18.30
14159;Oreillettes;https://data.laregion.fr/api/v2/catalog/datasets/produits-sud-de-france/files/fb386c15fbef7c8e283ce20d6171c908;non;1083;4.14
